id;form_name;filled_data;confidence;gemini_model;processed_at;missing_fields
1;feather switchboard;../fake-data/blob/hipster.txt;29644.19;of ha incidentally;2026-04-17T09:10:21;gadzooks by so
2;wriggler;../fake-data/blob/hipster.txt;15611.8;questionably;2026-04-17T05:51:30;quizzically motionless
3;finally now mostly;../fake-data/blob/hipster.txt;14346.25;lest;2026-04-17T08:49:26;how beautifully
4;ugh psst;../fake-data/blob/hipster.txt;31320.63;likewise redevelop utter;2026-04-17T23:00:12;inasmuch inasmuch
5;blah;../fake-data/blob/hipster.txt;15025.5;times sleepily;2026-04-17T19:10:57;label save
6;atop;../fake-data/blob/hipster.txt;19917.91;monthly;2026-04-17T10:32:41;forgo
7;mmm patiently because;../fake-data/blob/hipster.txt;16086.03;towards obvious;2026-04-17T11:11:49;offensively bah including
8;battle never accept;../fake-data/blob/hipster.txt;21670.53;overheard;2026-04-17T08:51:11;paralyse woot
9;lest;../fake-data/blob/hipster.txt;30333.4;however onto loyally;2026-04-17T08:39:49;untrue
10;worldly greatly;../fake-data/blob/hipster.txt;11800.2;whose;2026-04-17T15:56:55;blowgun puff
