id;variable_source_form_id;variable_target_form_id;formula
1;ack;though unfortunate;voluntarily on safely
2;a larva untried;hence;yuck detain
3;tightly mainstream unaccountably;wise;cone
4;miskey entwine yippee;for lasting;emphasize clear-cut silently
5;needy enormously;blah yesterday boohoo;gleefully duh rubbery
6;zowie;overcook amid pace;meanwhile ack
7;ugh costume because;hmph yowza;um barring
8;heavily;hmph;brr integer
9;yieldingly um kissingly;materialise mainstream;pivot parallel when
10;little duh;median;wisely like awesome
