id;flow_id;ticket_name;creator_email;current_step_id;status;priority;version;created_at;updated_at;completed_at
1;1242;director yet as;curry plus hence;7575;29667;6796;9047;2026-04-10T10:07:48;2026-04-10T19:32:45;2026-04-10T17:48:53
2;3077;per angelic;smoothly;3726;16258;27494;30616;2026-04-10T08:14:32;2026-04-10T12:57:07;2026-04-10T23:14:57
3;7717;insolence up;furlough;17363;24470;8315;30277;2026-04-10T07:34:10;2026-04-10T11:27:46;2026-04-10T14:05:10
4;1575;interestingly whose;atop;24154;28859;5822;24462;2026-04-10T09:54:31;2026-04-10T14:47:33;2026-04-11T00:06:33
5;14419;during wherever meh;oh;25959;32519;8557;17891;2026-04-10T19:30:55;2026-04-11T00:24:43;2026-04-10T18:16:23
6;26495;blossom aboard grim;unless;6165;7050;20200;16523;2026-04-10T08:36:08;2026-04-10T18:37:34;2026-04-11T03:38:08
7;23571;clavicle for concerning;upright whether;8017;32019;15309;27683;2026-04-11T05:15:10;2026-04-10T15:53:34;2026-04-11T03:43:34
8;31950;for for schedule;ha;28367;17407;876;5685;2026-04-10T13:50:24;2026-04-11T00:35:11;2026-04-11T05:28:44
9;32313;psst quietly;doodle vacantly slushy;10494;24105;32387;17796;2026-04-10T12:13:01;2026-04-10T14:17:34;2026-04-11T02:00:43
10;7074;minister wherever;up meh why;19625;13283;9640;14412;2026-04-10T14:36:11;2026-04-10T09:02:04;2026-04-10T21:38:29
